地域,合計,宅地,(宅地利用比率：公共),(宅地利用比率：商業),(宅地利用比率：住宅),(宅地利用比率：工業),(宅地利用比率：農業),その他,(屋外利用地),公園等,未利用地等,道路等,(道路),農用地,水面・河川・水路,森林,原野,建物棟数,耐火造,準耐火造,防火造,木造
清瀬市,1012.0,505.0,26.9,6.4,61.6,2.4,2.7,37.2,(36.2),28.5,28.2,151.8,(143.2),198.1,8.0,37.9,17.3,,,,,
東久留米市,1288.8,718.0,13.0,10.5,68.4,5.4,2.7,60.9,(60.5),50.9,29.8,215.0,(212.5),162.8,7.9,35.2,8.4,,,,,
武蔵村山市,1542.9,659.7,12.0,12.7,62.8,12.0,0.5,158.3,(59.2),38.3,82.8,181.5,(181.5),198.2,10.2,206.5,7.3,,,,,
多摩市,2107.3,917.4,20.7,11.8,64.4,2.8,0.3,66.9,(65.9),304.9,61.3,402.5,(384.7),37.3,40.4,140.5,136.1,,,,,
稲城市,1797.0,551.4,15.5,12.9,63.4,7.2,1.0,186.9,(58.2),276.6,127.6,252.0,(236.2),123.6,26.9,187.5,64.4,,,,,
羽村市,995.7,569.1,10.5,10.2,51.3,26.9,1.1,87.7,(46.2),42.6,18.1,149.3,(144.1),41.9,23.9,17.3,45.7,,,,,
あきる野市,7342.4,980.4,12.8,10.6,67.6,7.1,1.9,155.2,(101.8),289.2,108.3,361.2,(352.7),480.7,142.1,4555.5,269.9,,,,,
西東京市,1590.9,968.4,13.2,8.8,74.5,3.1,0.4,70.6,(70.4),72.7,31.9,276.9,(266.7),151.2,4.5,11.7,2.8,,,,,
瑞穂町,1683.8,533.5,8.3,13.5,44.4,28.8,4.9,298.3,(77.0),39.7,39.8,168.6,(163.7),268.3,5.2,322.5,8.0,,,,,
日の出町,2805.2,336.4,22.9,9.2,48.0,14.9,5.1,83.6,(32.3),34.4,45.4,111.6,(111.6),133.9,25.7,1980.0,54.2,,,,,
檜原村,10537.9,98.6,15.0,14.8,65.4,4.2,0.5,51.2,(14.3),4.8,7.9,90.2,(90.2),154.7,50.7,10015.5,64.3,,,,,
奥多摩町,22534.3,173.2,19.3,11.9,59.9,7.5,1.4,194.1,(31.3),22.7,17.0,154.3,(147.0),97.2,499.8,21342.4,33.6,,,,,
