市区町村,総人口(単位：人),15歳未満人口(単位：人),15～64歳人口(単位：人),65歳以上人口(単位：人),外国人人口(単位：人),人口集中地区人口(単位：人),出生数(単位：人),死亡数(単位：人),転入者数(単位：人),転出者数(単位：人),昼間人口(単位：人),世帯数(単位：世帯),一般世帯数(単位：世帯),核家族世帯数(単位：世帯),単独世帯数(単位：世帯),65歳以上の世帯員のいる核家族世帯数(単位：世帯),高齢夫婦世帯数(単位：世帯),高齢単身世帯数(単位：世帯),婚姻件数(単位：組),離婚件数(単位：組),総面積(単位：k㎡),可住地面積(単位：k㎡),課税対象所得(単位：百万円),納税義務者数(単位：所得割）(単位：人),事業所数(単位：事業所),第２次産業事業所数(単位：事業所),第３次産業事業所数(単位：事業所),従業者数(単位：人),第２次産業従業者数(単位：人),第３次産業従業者数(単位：人),耕地面積(単位：k㎡),製造品出荷額等(単位：百万円),製造業従業者数(単位：人),商業年間商品販売額(単位：百万円),商業事業所数(単位：事業所),商業従業者数(単位：人),財政力指数(単位：市町村財政),実質収支比率(単位：市町村財政)(単位：％),実質公債費比率(単位：市町村財政)(単位：％),歳入決算総額(単位：市町村財政)(単位：百万円),歳出決算総額(単位：市町村財政)(単位：百万円),地方税(単位：市町村財政)(単位：百万円),幼稚園数(単位：園),幼稚園在園者数(単位：人),小学校数(単位：校),小学校教員数(単位：人),小学校児童数(単位：人),中学校数(単位：校),中学校教員数(単位：人),中学校生徒数(単位：人),高等学校数(単位：校),高等学校生徒数(単位：人),労働力人口(単位：人),就業者数(単位：人),完全失業者数(単位：人),第１次産業就業者数(単位：人),第２次産業就業者数(単位：人),第３次産業就業者数(単位：人),雇用者数(単位：人),役員数(単位：人),雇人のある業主数(単位：人),雇人のない業主数(単位：人),家族従業者数(単位：人),自市区町村で従業している就業者数(単位：人),他市区町村への通勤者数(単位：人),従業地による就業者数(単位：人),他市区町村からの通勤者数(単位：人),公民館数(単位：館),図書館数(単位：館),居住世帯あり住宅数(単位：住宅),持ち家数(単位：住宅),借家数(単位：住宅),１住宅当たり延べ面積(単位：㎡),非水洗化人口(単位：人),ごみ計画収集人口(単位：人),ごみ総排出量(単位：t),ごみのリサイクル率(単位：％),小売店数(単位：事業所),飲食店数(単位：事業所),大型小売店数(単位：事業所),百貨店，総合スーパー数(単位：事業所),一般病院数(単位：施設),一般診療所数(単位：施設),歯科診療所数(単位：施設),医師数(単位：人),歯科医師数(単位：人),薬剤師数(単位：人),介護老人福祉施設数(単位：所),児童福祉施設等数(単位：助産施設・児童遊園を除く）(単位：所),保育所等数(単位：所),保育所等在所児数(単位：人),国民健康保険被保険者数(単位：人)
足立区,670122,79365,416200,165151,21563,670122,4941,6951,30623,27235,608968,310662,310434,162542,128406,61565,27875,39952,3801,1318,53.25,53.25,1092440,322298,25887,6102,19773,236348,43869,192292,,260382,12640,1426357,4367,37361,,,-0.3,287025,278882,47203,53,8994,69,1770,31393,37,903,14205,11,8192,284915,272140,12775,594,49419,180740,194630,15172,4578,18585,5869,101609,132739,220322,80921,0,15,325710,148190,151890,65.54,560,681014,,,3968,2432,70,4,51,424,375,908,464,1253,21,166,96,9572,183283
葛飾区,442913,52325,281456,109059,13139,442913,3459,4564,21138,18582,372335,201380,201186,109603,79174,40684,17758,26601,2468,831,34.8,34.8,761907,221861,17953,4393,13552,142902,29339,113518,,168533,9055,733120,3075,22749,,,0.6,195786,187080,33003,29,4903,49,1173,20322,27,601,9226,8,5553,204149,195544,8605,405,36117,136738,146855,11065,3155,12544,4176,65141,110184,133396,48036,0,12,197520,106350,84140,68.12,669,456337,,,2747,1948,43,6,20,358,271,777,335,929,16,131,92,8878,116056
江戸川区　,681298,90730,444656,139193,23997,681298,5646,5624,32270,31132,561479,309072,308862,165687,125438,53835,23601,31338,3925,1336,49.9,49.9,1202945,336191,21840,4864,16964,196949,35678,160934,,191442,8919,1044564,3443,30833,,,-6.1,257506,245166,52542,41,9946,71,1849,34741,35,943,16359,10,10004,315571,303120,12451,691,54245,213500,232017,17246,4395,16950,5234,105459,166452,199184,62516,0,12,307330,133380,153030,64.02,356,691174,,,3155,2078,72,5,22,424,364,856,550,1262,17,102,89,10016,161397
八王子市　,577513,66908,355230,140909,8369,517284,3377,5303,21426,20667,576240,253356,252985,138944,97692,55227,28194,23943,2172,941,186.38,108.1,919519,260749,19264,3377,15858,231984,37659,194063,7,370513,16029,1238457,3302,35613,0.95,1.8,-0.6,195933,193944,89168,31,5933,70,1655,27989,47,1063,15682,18,14553,259121,247855,11266,1576,48616,179322,201003,12309,3523,14269,4046,124004,109378,217711,79234,0,4,250360,138730,103140,75.83,2761,563327,164305,33.9,3068,2056,95,4,32,377,285,1129,400,1520,23,111,91,9771,142205
立川市,176295,18749,101975,40378,2393,174212,1391,1656,10536,9531,201294,83285,83188,39771,36519,15222,7539,9475,1026,305,24.36,24.32,324723,88441,7794,923,6861,119144,12044,107038,3,95789,3736,798879,1434,16799,1.13,8.4,2,78160,73815,39199,12,2508,20,512,8613,9,244,3945,4,4235,78021,74695,3326,673,12981,55127,60072,3499,1061,4529,1288,26767,42958,98295,66558,0,10,74500,35290,39200,66,271,181285,46558,42.6,1410,943,32,4,7,159,117,561,183,537,7,45,31,3472,42831
武蔵野市　,144730,16237,95181,30819,2136,144730,1214,1153,9995,9585,157319,74022,73960,34491,36642,11555,5964,8097,944,191,10.98,10.98,402297,76687,7995,419,7572,87949,5925,82004,0,4526,299,405971,1450,14580,1.49,5.5,-1,70918,68486,40361,12,1884,15,428,7276,11,263,4165,6,4008,68434,66129,2305,231,8087,51979,50358,4644,1196,4788,1077,18415,43167,69897,46935,0,3,70760,30040,35740,65.3,9,143864,42629,40.3,1698,1205,35,4,9,209,148,491,209,550,6,33,19,1785,31990
三鷹市,186936,22255,122788,38962,2741,186936,1522,1487,11522,10662,165721,90226,90093,44959,41490,14851,7359,8895,1056,248,16.42,16.4,417856,95000,5411,714,4686,61109,7965,53084,1,29771,1515,218458,728,7255,1.13,2.8,3.8,69939,68654,38097,17,3221,16,481,8962,9,260,3988,3,2835,97424,94138,3286,645,11060,61132,62754,4715,1258,5724,1358,23299,51121,75426,32409,3,6,86710,37790,42150,66.95,4,185323,47694,40.6,757,481,16,1,7,137,100,968,132,481,4,39,33,2779,41627
青梅市,137381,15906,82801,38660,1416,107375,766,1663,4381,4418,124145,54371,54196,33870,16166,13778,6894,5561,483,249,103.31,38.67,199199,63568,4791,1168,3616,55506,14266,41185,5,178001,7370,427793,756,7026,0.88,3,2.2,49994,49128,20086,6,507,17,401,6350,11,264,3432,2,1539,62559,59533,3026,636,15629,39469,48100,2703,944,3585,1301,27233,29136,50092,19695,0,12,49710,34640,13910,87.62,2787,136244,41137,35.3,848,471,12,1,8,89,63,334,82,267,25,38,30,3060,35554
府中市,260274,34287,169863,53564,4389,260274,2121,2091,13829,13510,245693,119569,119435,63601,50657,20840,10195,11362,1247,415,29.43,29.43,490341,127886,7862,1164,6685,118033,23917,93920,2,848204,13150,529677,1256,13999,1.19,5,2.6,109897,106980,51080,20,4117,24,728,14189,12,363,6230,6,4990,128317,123572,4745,770,21118,92522,101243,5639,1716,6817,1801,48178,68152,113440,58020,11,13,112810,58440,50270,68.41,59,258958,64127,41.4,1194,884,32,2,13,179,147,877,205,855,7,59,44,4498,57112
昭島市,111539,14011,69486,27445,1967,111491,820,1087,5255,4676,101452,48258,48208,28588,16672,10670,5090,5682,536,189,17.34,17.23,179249,54116,3803,612,3185,51066,15523,35492,1,441710,9560,253472,702,7115,0.98,5.1,0.5,43842,42505,19049,7,1052,14,355,5698,7,174,2789,3,2116,54651,51949,2702,310,11294,37034,43012,2222,788,2913,836,18214,31138,44581,23770,1,5,47200,24770,21550,71.42,917,112852,31820,35.8,647,473,18,2,8,62,61,152,99,229,5,26,22,2631,27731
調布市,229061,27647,151021,48182,2960,229061,2102,1737,14390,12466,197864,110581,110450,56020,49815,18603,9261,11133,1298,384,21.58,21.46,489842,118161,6890,865,6015,78827,7023,71756,1,45276,2099,381430,1104,11127,1.25,6.8,1.3,89754,85795,44735,15,2976,22,623,11598,11,334,5629,6,4519,111962,106263,5699,665,14912,80115,83551,5735,1578,6540,1561,31490,67132,75753,36622,3,11,108050,48610,54840,62.02,48,229220,60130,44.2,1190,854,26,2,6,187,150,302,194,520,7,63,47,3971,50659
町田市,432348,55649,262725,109460,4727,406307,2755,3783,16166,15323,396333,186711,186454,112484,65506,43501,23419,20481,1560,693,71.55,63.84,770343,197728,12663,1663,10974,143349,15662,127518,5,94192,4482,660155,2261,23941,0.98,5.6,-1.3,144519,139900,68691,35,6002,44,1326,23816,24,767,12794,12,10168,184842,177299,7543,1301,30831,129828,140972,9328,2445,10614,2512,62170,102227,132959,57887,0,8,205950,107270,78650,79.24,826,428203,123121,32.6,2409,1371,66,3,15,313,227,611,313,975,21,79,68,5997,101086
小金井市　,121396,13787,81168,24246,1796,121396,991,883,8152,7536,104257,59796,59692,29263,28111,9461,4920,5590,693,168,11.3,11.25,262722,61578,3027,273,2752,30955,2024,28911,1,3950,326,122171,494,4955,1.03,8.8,3,42321,40219,21246,7,1131,10,295,5725,9,255,3972,6,4216,57575,55350,2225,359,7140,43064,44256,2695,736,3606,763,12938,38657,33296,16603,6,4,56640,24320,29390,64.92,8,119238,27102,54.5,539,377,11,1,4,87,68,168,103,241,1,25,16,1641,24888
小平市,190005,24118,122046,42139,3971,190005,1462,1620,10053,8966,166779,82888,82768,47896,31095,16645,8517,8486,814,240,20.51,20.45,340922,89013,4947,698,4238,62094,12289,49706,2,105178,3404,198504,837,7735,0.98,4.8,0.6,63172,61529,30645,15,3498,21,555,10149,11,298,4903,6,5931,86082,82716,3366,645,13913,61760,66635,3804,1109,5164,1396,24520,52862,59635,29781,11,11,81480,41150,36260,70.71,101,189600,50737,34.4,874,553,18,2,8,126,95,534,131,394,7,38,32,2445,42457
日野市,186283,23438,116235,43709,2188,184963,1414,1530,9294,8386,163592,84928,84823,46582,34270,17333,9163,8823,942,265,27.55,26.55,330227,90579,4604,574,4024,61188,16605,44562,1,800621,12945,209390,675,7231,0.97,6.7,-1.1,68797,66282,29957,14,2214,17,498,9228,8,256,4336,3,2905,83763,80597,3166,564,16007,58053,67072,2916,913,4421,1028,25019,50845,59417,29665,2,7,78540,40510,36630,71.82,712,183511,44280,35,696,467,18,0,6,124,85,240,98,378,5,40,30,2941,40166
東村山市　,149956,18482,91302,38211,1959,149921,976,1510,6646,6127,119897,64604,64521,38630,22478,14748,7450,7760,576,252,17.14,16.34,241514,69486,3986,633,3346,41358,6157,35168,2,82446,3059,144774,630,6160,0.82,4.6,5.3,54383,52875,20512,10,1851,15,412,7595,11,258,4033,5,3135,69310,66448,2862,569,11295,49533,53665,2936,938,4359,1163,19386,42789,40711,17052,5,5,64480,37190,25840,72.48,422,150780,38852,43.2,679,510,18,1,8,95,72,250,109,376,8,33,21,2136,36379
国分寺市　,122742,14184,80666,25545,1624,122742,940,943,8043,7274,104735,59130,59089,30180,26469,10347,5290,5219,684,152,11.46,11.4,262784,61982,3674,354,3313,37146,2960,34131,1,16622,966,143589,561,5414,1.01,3.6,-1.4,48036,46817,22571,4,879,11,319,6068,6,166,2948,2,2189,56463,54565,1898,440,7818,41364,43290,2768,777,3283,829,12163,38329,36374,20138,5,6,61450,29830,28900,67.02,92,120503,30227,46.3,591,524,12,1,2,116,75,134,96,235,5,30,25,2245,25382
