団体名,所得者区分,合計_均等割を納める者_納税義務者数(単位：人),合計_均等割を納める者_均等割額(単位：千円)
青梅市,農業所得者,18,63
青梅市,その他の所得者,12396,43386
青梅市,家屋敷等のみ,61,214
青梅市,計,66847,233965
府中市,給与所得者,107840,377071
府中市,営業等所得者,5215,18245
府中市,農業所得者,7,25
府中市,その他の所得者,20469,71619
府中市,家屋敷等のみ,232,812
府中市,計,133763,467772
昭島市,給与所得者,45509,158477
昭島市,営業等所得者,2315,8092
昭島市,農業所得者,2,7
昭島市,その他の所得者,9444,33016
昭島市,家屋敷等のみ,81,284
昭島市,計,57351,199876
調布市,給与所得者,101144,353379
調布市,営業等所得者,5393,18865
調布市,農業所得者,13,46
調布市,その他の所得者,18473,64614
調布市,家屋敷等のみ,242,847
調布市,計,125265,437751
町田市,給与所得者,158246,553862
町田市,営業等所得者,8406,29422
町田市,農業所得者,22,78
町田市,その他の所得者,40940,143290
町田市,家屋敷等のみ,206,721
町田市,計,207820,727373
小金井市,給与所得者,51722,181028
小金井市,営業等所得者,2416,8457
小金井市,農業所得者,7,25
小金井市,その他の所得者,10647,37265
小金井市,家屋敷等のみ,78,273
小金井市,計,64870,227048
小平市,給与所得者,74313,260096
小平市,営業等所得者,3889,13612
小平市,農業所得者,15,53
小平市,その他の所得者,16000,56000
小平市,家屋敷等のみ,81,284
小平市,計,94298,330045
日野市,給与所得者,74361,260264
日野市,営業等所得者,3012,10542
日野市,農業所得者,12,43
日野市,その他の所得者,17607,61625
日野市,家屋敷等のみ,139,487
日野市,計,95131,332961
東村山市,給与所得者,57231,200309
東村山市,営業等所得者,3160,11060
東村山市,農業所得者,9,32
東村山市,その他の所得者,13132,45962
東村山市,家屋敷等のみ,79,277
東村山市,計,73611,257640
国分寺市,給与所得者,51610,180635
国分寺市,営業等所得者,2340,8190
国分寺市,農業所得者,9,32
国分寺市,その他の所得者,11201,39204
国分寺市,家屋敷等のみ,246,861
国分寺市,計,65406,228922
国立市,給与所得者,31179,109093
国立市,営業等所得者,1667,5833
国立市,農業所得者,3,11
国立市,その他の所得者,6529,22850
国立市,家屋敷等のみ,124,434
国立市,計,39502,138221
福生市,給与所得者,23825,83388
福生市,営業等所得者,1358,4753
福生市,農業所得者,0,0
福生市,その他の所得者,4609,16132
福生市,家屋敷等のみ,0,0
福生市,計,29792,104273
狛江市,給与所得者,34750,121419
狛江市,営業等所得者,2144,7499
狛江市,農業所得者,4,15
狛江市,その他の所得者,7077,24752
狛江市,家屋敷等のみ,85,298
狛江市,計,44060,153983
東大和市,給与所得者,32087,112305
東大和市,営業等所得者,1974,6909
東大和市,農業所得者,2,7
東大和市,その他の所得者,7570,26495
東大和市,家屋敷等のみ,40,140
東大和市,計,41673,145856
清瀬市,給与所得者,27291,95519
清瀬市,営業等所得者,1586,5550
清瀬市,農業所得者,16,56
清瀬市,その他の所得者,6649,23272
清瀬市,家屋敷等のみ,0,0
清瀬市,計,35542,124397
東久留米市,給与所得者,43357,151750
東久留米市,営業等所得者,2664,9325
東久留米市,農業所得者,9,32
東久留米市,その他の所得者,11008,38528
東久留米市,家屋敷等のみ,0,0
東久留米市,計,57038,199635
武蔵村山市,給与所得者,26191,91179
武蔵村山市,営業等所得者,1957,6843
武蔵村山市,農業所得者,7,25
武蔵村山市,その他の所得者,5266,18408
武蔵村山市,家屋敷等のみ,46,161
武蔵村山市,計,33467,116616
多摩市,給与所得者,57601,201604
多摩市,営業等所得者,2587,9055
多摩市,農業所得者,2,7
多摩市,その他の所得者,15087,52805
多摩市,家屋敷等のみ,45,158
多摩市,計,75322,263629
稲城市,給与所得者,36393,127375
稲城市,営業等所得者,1760,6160
稲城市,農業所得者,18,63
稲城市,その他の所得者,6883,24091
稲城市,家屋敷等のみ,41,144
稲城市,計,45095,157833
羽村市,給与所得者,22683,79391
羽村市,営業等所得者,1104,3864
羽村市,農業所得者,6,21
羽村市,その他の所得者,5194,18179
羽村市,家屋敷等のみ,0,0
羽村市,計,28987,101455
あきる野市,給与所得者,29723,104031
あきる野市,営業等所得者,1906,6670
あきる野市,農業所得者,21,74
あきる野市,その他の所得者,8506,29771
あきる野市,家屋敷等のみ,0,0
あきる野市,計,40156,140546
西東京市,給与所得者,79892,279621
西東京市,営業等所得者,4443,15551
西東京市,農業所得者,7,24
西東京市,その他の所得者,17066,59732
西東京市,家屋敷等のみ,0,0
西東京市,計,101408,354928
瑞穂町,給与所得者,12743,44600
瑞穂町,営業等所得者,923,3231
瑞穂町,農業所得者,18,63
瑞穂町,その他の所得者,2909,10182
瑞穂町,家屋敷等のみ,0,0
瑞穂町,計,16593,58076
日の出町,給与所得者,5616,19656
日の出町,営業等所得者,378,1323
日の出町,農業所得者,5,18
日の出町,その他の所得者,2234,7819
日の出町,家屋敷等のみ,0,0
日の出町,計,8233,28816
檜原村,給与所得者,671,2349
檜原村,営業等所得者,64,224
檜原村,農業所得者,0,0
檜原村,その他の所得者,302,1057
檜原村,家屋敷等のみ,0,0
檜原村,計,1037,3630
奥多摩町,給与所得者,1619,5666
奥多摩町,営業等所得者,100,350
奥多摩町,農業所得者,3,11
奥多摩町,その他の所得者,688,2408
奥多摩町,家屋敷等のみ,91,319
奥多摩町,計,2501,8754
